I_D,YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
9852,2011,5.7,TURKEY,TURKEY:  VAN,38.429,43.229,40,,,
9890,2011,5.8,INDIA,INDIA:  ASSAM,24.955,95.236,0,,,
9863,2011,5.1,EL SALVADOR,EL SALVADOR-GUATEMALA,13.297,-87.898,0,,,80
9891,2011,5.3,CHINA,"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",38.31,76.888,0,,,300
9854,2011,5.3,NEW ZEALAND,NEW ZEALAND:  COOK STRAIT,-41.364,174.315,0,,,
9853,2011,6.4,MEXICO,MEXICO:  GUERRERO,17.844,-99.963,2,5,,70
9855,2011,5.8,NEW ZEALAND,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-43.49,172.8,0,60,,
9856,2011,6.7,RUSSIA,RUSSIA:  KYZYL,51.842,95.911,0,,,
9866,2012,5.3,IRAN,IRAN:  KHORASAN-E-RAZAVI,36.288,58.835,0,238,,
9867,2012,6.4,PERU,PERU:  ICA,-14.168,-75.635,0,119,,
9871,2012,7,VANUATU,VANUATU ISLANDS,-17.827,167.133,0,,,
9870,2012,6.7,PHILIPPINES,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,51,112,15000,
9904,2012,5.9,TAIWAN,TAIWAN:  PINGTUNG,22.661,120.891,0,,,
9903,2012,5.2,IRAN,IRAN:  RAVAR,31.428,56.778,0,6,,
9905,2012,5.6,PHILIPPINES,PHILIPPINES:  MASBATE ISLAND,12.354,123.7,0,10,1,
10413,2012,6.7,VANUATU,VANUATU ISLANDS,-19.125,169.613,0,,,
9878,2012,6.9,JAPAN,JAPAN:  HOKKAIDO,40.887,144.944,0,,,
9877,2012,5.8,PHILIPPINES,PHILIPPINES:  SURIGAO,10.037,125.633,0,55,4,
9876,2012,7.4,MEXICO,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,2,13,800,
9920,2012,7.2,CHILE,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,1,14,,
9879,2012,8.6,INDONESIA,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,10,12,,
9880,2012,8.2,INDONESIA,INDONESIA:  N SUMATRA:  OFF WEST COAST,0.802,92.463,0,,,
9885,2012,6.3,VANUATU,VANUATU ISLANDS,-18.972,168.741,0,,,
9884,2012,6.7,CHILE,CHILE:  VALPARAISO,-32.625,-71.365,2,,,
9893,2012,5.4,IRAN,"IRAN:  MOURMOURI, ABDANAN, DEHLORAN",32.747,47.726,0,8,,
9894,2012,5.7,AZERBAIJAN,AZERBAIJAN:  ZAGATALA,41.549,46.789,0,50,3100,
9930,2012,5.4,INDIA,"INDIA:  ASSAM:  KAMRUP, GUWAHATI",26.175,92.889,0,2,,
9931,2012,5.7,TAJIKISTAN,TAJIKISTAN,38.612,70.354,1,,,
9932,2012,6.3,CHILE,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,0,,,
9933,2012,4.1,BRAZIL,BRAZIL:  MONTES CLAROS,-16.764,-43.999,0,,,6
9902,2012,6.1,ITALY,ITALY:  EMILIA ROMAGNA:  MIRANDOLA,44.89,11.23,7,50,,
9948,2012,5.1,ITALY,ITALY:  SANT'AGOSTINO,44.831,11.49,0,,,
9906,2012,5.6,BULGARIA,BULGARIA: PERNIK,42.645,22.968,0,,,90
9901,2012,5.9,ITALY,"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",44.851,11.086,17,350,,
9909,2012,5.8,INDONESIA,INDONESIA:  JAVA,-7.692,106.371,0,2,,23
9921,2012,6.1,TURKEY,TURKEY:  FETHIYE; GREECE:  RHODES,36.42,28.88,0,6,,
9922,2012,5.8,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.023,69.351,75,13,143,593
9949,2012,5.3,TURKEY,TURKEY:  SIRNAK,37.294,42.325,0,23,,25
9919,2012,5.5,CHINA,CHINA:  YUNNAN AND SICHUAN PROVINCES,27.767,100.781,4,394,6768,
9924,2012,6.3,CHINA,CHINA:  XINJIANG PROVINCE,43.433,84.7,0,52,,30000
9950,2012,4.9,CHINA,CHINA:  JIANGSU PROVINCE,32.978,119.593,1,2,,
9951,2012,6.5,INDONESIA,INDONESIA: BANDA ACEH,2.707,96.045,1,,,20
9926,2012,6.4,SOLOMON ISLANDS,SOLOMON ISLANDS: GUADALCANAL,-9.694,159.727,0,,26,
9928,2012,6.5,IRAN,"IRAN:  AHAR, HARIS, VARZAGAN",38.329,46.826,306,3000,,
9929,2012,7.7,RUSSIA,RUSSIA:  SAKHALIN ISLAND,49.8,145.064,0,,,
9938,2012,6.3,INDONESIA,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096,6,43,471,1097
9934,2012,7.3,NICARAGUA,NICARAGUA:  OFF THE COAST,12.139,-88.59,0,,,
9935,2012,7.6,PHILIPPINES,"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",10.811,126.638,1,1,,
9936,2012,7.6,COSTA RICA,COSTA RICA:  NICOYA,10.085,-85.315,2,20,,
9937,2012,5.6,CHINA,CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,27.575,103.983,81,821,37000,133000
9968,2012,5,INDIA,"INDIA:  DEURALA, JAISINGHNAGAR, KOTMA, SARAI, UMARIA",23.739,81.314,0,,,1
9941,2012,7.7,CANADA,CANADA:  QUEEN CHARLOTTE ISLANDS,52.788,-132.101,1,,,
9942,2012,7.3,GUATEMALA,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",13.988,-91.895,48,155,2769,7561
9943,2012,6.8,MYANMAR (BURMA),MYANMAR (BURMA):  SHWEBO,23.005,95.885,26,230,251,
9944,2012,5.1,CHINA,CHINA:  XINJIANG PROVINCE:  RUOQIANG,40.411,90.355,0,,,
9945,2012,5.7,IRAN,IRAN:  KHORASAN PROVINCE,33.506,59.571,8,12,,
9946,2012,7.2,JAPAN,JAPAN:  HONSHU:  MIYAGI PREFECTURE,37.89,143.949,0,11,,
9953,2013,7.5,USA,ALASKA:  SOUTHEASTERN,55.393,-134.652,0,,,
9957,2013,6.1,INDONESIA,INDONESIA:  SUMATERA:  N,4.927,95.907,1,15,,71
9958,2013,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.799,165.114,10,15,588,478
9963,2013,7,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.928,166.018,0,,,
9964,2013,7,COLOMBIA,"COLOMBIA:  CAUCA, NARINO, VALLE DEL CAUCA, RISARALDA",1.135,-77.393,0,15,100,1900
9999,2013,4.2,RUSSIA,RUSSIA:  CHELYABINSK (METEOR EXPLOSION),55.15,61.41,0,1000,,4000
9965,2013,4.9,CHINA,CHINA:  YUNNAN PROVINCE:  QIAOJIA,27.226,103.071,0,8,72,949
9966,2013,5.3,PERU,PERU:  S,-15.748,-71.425,0,,,80
9967,2013,5.4,CHINA,CHINA:  YUNNAN PROVINCE,25.98,99.812,0,30,700,2500
10000,2013,5.1,CHINA,CHINA:  XINJIAN PROVINCE:  S,40.119,77.466,0,,864,
9975,2013,6,TAIWAN,"TAIWAN:  NANTOU COUNTY, TAIPEI",23.828,121.215,1,86,,
9974,2013,6.3,IRAN,"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA",28.428,51.593,37,850,,700
10182,2013,5.4,HONDURAS,HONDURAS: ATLANTIDA,15.52,-87.159,0,,12,66
9980,2013,5.8,JAPAN,JAPAN,34.369,134.828,0,24,,
9976,2013,7.7,IRAN,IRAN; PAKISTAN:  MASHKAL,28.033,61.996,40,300,,1000
10035,2013,5.8,JAPAN,JAPAN: MIYAKEJIMA,33.958,139.352,0,3,,
10036,2013,2.1,USA,TEXAS:  WEST,31.817,-97.088,14,200,50,
9977,2013,7.2,RUSSIA,RUSSIA:  KURIL ISLANDS,46.221,150.788,0,,,
9978,2013,6.6,CHINA,CHINA:  SICHUAN PROVINCE:  LONGMEN,30.308,102.888,196,11470,,
9983,2013,5.5,AFGHANISTAN,AFGHANISTAN:  KAMA,34.526,70.22,18,141,,676
9991,2013,5.7,INDIA,"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",33.061,75.863,3,90,1136,95532
9994,2013,6.1,IRAN,IRAN:  HORMOZGAN: BASHAGARD,26.56,57.77,2,20,,
10037,2013,4.9,ALGERIA,ALGERIA:  ALGIERS,36.703,5.261,0,5,,
9998,2013,8.3,RUSSIA,RUSSIA:  SEVERO KURILSKIYE,54.892,153.221,0,,,
10003,2013,5.7,PHILIPPINES,"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",7.275,124.898,0,33,,164
10002,2013,6.3,TAIWAN,TAIWAN:  JENAI,23.789,121.141,4,21,,
10007,2013,5.3,RUSSIA,RUSSIA:  KEMEROVO,54.263,86.173,0,,,500
10006,2013,5.1,INDONESIA,INDONESIA:  LOMBOK ISLAND,-8.305,116.058,0,50,5370,1700
10005,2013,6.1,INDONESIA,INDONESIA:  BANDA ACEH,4.645,96.665,42,2500,20401,
10038,2013,5.7,INDONESIA,INDONESIA:  JAVA,-8.803,113.002,0,1,124,
10034,2013,4.8,ALGERIA,ALGERIA:  HAMMAM MELOUANE,36.534,3.086,0,11,,
10021,2013,6.5,NEW ZEALAND,NEW ZEALAND:  COOK STRAIT,-41.704,174.337,0,5,,35
10018,2013,6,CHINA,"CHINA:   GANSU:  DINGXI, MIN",34.512,104.262,94,1001,1968,22496
10295,2013,5.2,INDIA,INDIA:  KASHMIR:  KISHTWAR,33.297,75.95,0,2,,
10033,2013,5.5,GREECE,"GREECE:  CENTRAL:   PHTHIOTIS, REGGINI",38.689,22.695,0,,100,
10296,2013,5.7,CHINA,CHINA:  TIBET (XIZANG PROVINCE): QAMDO,30.046,97.957,0,,,
10032,2013,6.5,NEW ZEALAND,"NEW ZEALAND:  WELLINGTON, MARLBOROUGH",-41.731,174.027,0,,,
10029,2013,6.2,MEXICO,"MEXICO:  SAN MARCOS, ACAPULCO",16.878,-99.498,0,1,,
10297,2013,5.2,CHINA,CHINA:  YUNNAN PROVINCE: SHANGRI-LA,28.239,99.328,0,,36,36
10031,2013,5.8,CHINA,CHINA:  YUNNAN PROVINCE:  BENZILAN,28.243,99.35,5,24,600,55500
10030,2013,6.4,GUATEMALA,"GUATEMALA:  COATEPEQUE, QUETZALTENANGO",14.606,-92.121,1,11,3,
10039,2013,7.7,PAKISTAN,"PAKISTAN:  AWARAN, KECH",26.951,65.501,825,619,32638,14118
10040,2013,7.1,PERU,PERU:  AREQUIPA,-16.15,-74.87,0,,,
10043,2013,6.8,PAKISTAN,PAKISTAN: AWARAN,27.183,65.505,22,50,,
10049,2013,6.6,GREECE,GREECE:  CRETE:  CHANIA,35.514,23.252,0,1,,
10048,2013,7.1,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,222,976,,
10050,2013,5.5,INDONESIA,INDONESIA:  BANDA ACEH,5.103,95.971,1,2,,160
10052,2013,7.1,JAPAN,JAPAN:  HONSHU:  E COAST,37.2,144.6,0,1,,
10305,2013,5.2,TAJIKISTAN,TAJIKISTAN:  VAHDAT,38.41,68.89,0,,104,256
10054,2013,7.7,ANTARCTICA,SCOTIA SEA:  SOUTH ORKNEY ISLANDS,-60.274,-46.401,0,,,
10306,2013,5.3,CHINA,CHINA:  JILIN PROVINCE:  SONGYUAN,44.599,124.168,0,,,5300
10056,2013,5.7,IRAN,IRAN:  BORAZJAN,29.275,51.313,8,200,250,
10059,2014,5.3,IRAN,IRAN:  BASTAK,27.15,54.448,1,30,,
10308,2014,5.6,COLOMBIA,COLOMBIA:  SIPI,4.557,-76.644,0,,,121
10068,2014,6.4,USA TERRITORY,PUERTO RICO,19.043,-66.81,0,,,
10067,2014,6.1,NEW ZEALAND,"NEW ZEALAND: WELLINGTON, MANAWATU-WANGANUI",-40.66,175.814,0,,,
10070,2014,6.1,INDONESIA,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265,0,,1,
10069,2014,6.1,GREECE,GREECE:  KEFALONIA,38.208,20.453,0,6,,
10072,2014,5.3,IRAN,IRAN:  GOHARAN,26.589,57.741,0,,,
10071,2014,6,GREECE,GREECE:  KEFALONIA:  LIXOURION,38.244,20.379,0,16,,
10309,2014,4.1,USA,OKLAHOMA:  GUTHRIE,35.937,-97.271,0,,,
10073,2014,6.9,CHINA,CHINA:  XINJIANG PROVINCE:  YUTIAN,35.905,82.586,0,,67,1001
10074,2014,4.5,AUSTRALIA,AUSTRALIA:  KALGOORLIE,-30.686,121.332,0,,,
10087,2014,6.3,JAPAN,JAPAN:  SOUTHWESTERN,33.684,131.825,0,18,,
10075,2014,6.7,CHILE,CHILE:  IQUIQUE,-19.965,-70.814,0,,,
10082,2014,5.1,USA,"CALIFORNIA:  LA HABRA, BREA, FULLERTON",33.863,-117.835,0,,,20
10079,2014,8.2,CHILE,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,7,,,2600
10080,2014,7.7,CHILE,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,0,,,
10081,2014,5.4,CHINA,CHINA:  YUNNAN PROVINCE:  XILUODU,28.174,103.619,0,21,75,2700
10083,2014,6.1,NICARAGUA,"NICARAGUA:  NAGAROTE, MANAGUA",12.403,-86.378,2,250,168,2210
10310,2014,7.1,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.586,155.049,1,,51,
10084,2014,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0,,,
10085,2014,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0,,,
10086,2014,5.2,NICARAGUA,"NICARAGUA:  MANAGUA, CIUDAD SANDINO",12.151,-86.281,0,,7,
10088,2014,7.2,MEXICO,MEXICO:  GUERRERO; MEXICO CITY,17.397,-100.972,0,,,127
10091,2014,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON SEA,-6.755,155.024,0,,,
10093,2014,6.1,THAILAND,THAILAND:  CHIANG RAI,19.656,99.67,1,32,20,
10095,2014,6.4,MEXICO,MEXICO:  TECPAN,17.235,-100.746,0,,,
10094,2014,4.5,PAKISTAN,PAKISTAN:  NAWABSHAH,26.387,68.358,2,70,,
10099,2014,3.6,GERMANY,GERMANY:  HESSE,49.799,8.69,0,,,70
10098,2014,5,ALBANIA,ALBANIA:  BELSH,41.115,19.777,0,,,
10096,2014,6.9,GREECE,"GREECE, TURKEY",40.24,25.33,3,266,,
10097,2014,5.9,CHINA,CHINA:  YUNNAN PROVINCE:  YINGJIANG,25,97.845,0,45,3390,18000
10101,2014,6.9,NEW ZEALAND,NEW ZEALAND:  SSE OF RAOUL ISLAND,-29.977,-177.725,0,,,
10100,2014,7.9,USA,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,0,,,
10102,2014,6.9,MEXICO,MEXICO; GUATEMALA:  SAN MARCOS,14.728,-92.578,3,33,,50
10105,2014,6.5,JAPAN,JAPAN:  SANRIKU,37.005,142.453,0,3,,
10314,2014,3.9,USA,OKLAHOMA:  HARRAH,35.524,-97.146,0,,,
10107,2014,6.1,USA,ALASKA:  SOUTHEASTERN,58.306,-136.96,0,,,
10104,2014,6.3,MEXICO,MEXICO:  OAXACA,17.682,-95.653,1,1,,
10103,2014,5.5,ALGERIA,ALGERIA:  ALGIERS,36.841,3.301,6,420,,
10106,2014,6.2,CHINA,"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",27.189,103.409,615,3143,25800,160400
10109,2014,5.5,SOUTH AFRICA,SOUTH AFRICA:  ORKNEY,-26.99,26.705,1,17,13,1433
10113,2014,5.1,ECUADOR,ECUADOR:  QUITO,-0.018,-78.322,2,8,,89
10112,2014,5,CHINA,CHINA:  YUNNAN PROVINCE:  YONGSHAN,28.125,103.546,0,6,,337
10111,2014,6.2,IRAN,IRAN:  ILAM PROVINCE:  ABDANAN,32.663,47.673,0,330,2700,17000
10110,2014,6.1,USA,"CALIFORNIA:  NAPA, VALLEJO",38.216,-122.312,1,257,160,1034
10117,2014,5.2,PHILIPPINES,PHILIPPINES:  BARANGAY LUAYON,6.864,125.233,0,1,15,67
10118,2014,5.1,PERU,PERU:  PARURO PROVINCE,-13.843,-71.695,8,6,106,
10116,2014,6.1,CHINA,CHINA:   YUNNAN PROVINCE:  YONGPING,23.383,100.47,1,323,,
10115,2014,7,CHILE,CHILE: EASTER ISLAND REGION,-32.108,-110.811,0,,,
10193,2014,7.3,EL SALVADOR,EL SALVADOR:  GULF OF FONSECA,12.526,-88.123,1,,5,41
10119,2014,7.1,INDONESIA,INDONESIA:  N. MOLUCCAS ISLANDS,1.893,126.522,0,,,
10121,2014,5.9,CHINA,CHINA:  SICHUAN PROVINCE:  GARZE,30.34,101.737,5,65,30,27400
10122,2014,6.2,JAPAN,"JAPAN:  NAGANO:  HAKUBA, OTARI",36.641,137.888,0,45,50,
10128,2014,5.6,CHINA,CHINA:  YUNNAN PROVINCE:  YONGPING,23.358,100.533,1,15,434,17000
10315,2014,4.9,ALGERIA,ALGERIA:  BLIDA,36.492,3.025,0,,,
10320,2015,5.3,CHINA,CHINA:  SICHUAN PROVINCE:  LESHAN,29.353,103.199,0,11,,2000
10131,2015,6.7,JAPAN,JAPAN:  HONSHU,39.856,142.881,0,,,
10135,2015,6.4,VANUATU,VANUATU ISLANDS,-16.431,168.148,0,,,
10127,2015,4.5,CHINA,CHINA:  YUNNAN PROVINCE,23.01,101.755,0,,,276
10126,2015,3.6,BOSNIA-HERZEGOVINA,BALKANS NW:  BOSNIA-HERZEGOVINA:,44.534,18.934,4,1,,
10125,2015,5.1,CHINA,CHINA:  XINJIANG PROVINCE:  SHAWAN,44.133,85.568,0,,,1728
10124,2015,5.4,PAKISTAN,PAKISTAN:  BATTAGRAM,34.671,73.278,0,5,,2
10321,2015,4.5,PERU,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.693,-71.934,0,,64,500
10335,2015,5.5,CHINA,"CHINA:   YUNNAN PROVINCE:  CANGYUAN, GENGMA",23.5,98.9,0,39,220,15800
10137,2015,4.4,SERBIA,BALKANS NW: SERBIA:  KOSJERIC,44.088,19.861,0,,,100
10336,2015,6.2,COLOMBIA,"COLOMBIA:  ANTIOQUIA, SANTANDER",6.8,-73.01,0,,180,2167
10132,2015,4.6,CHINA,CHINA:  ANHUI PROVINCE:  FUYANG,33.15,115.8,2,13,155,11079
10133,2015,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.729,152.562,0,,,
10136,2015,6.4,TAIWAN,TAIWAN:  TAIPEI,24.203,122.316,1,1,,19
10134,2015,7.8,NEPAL,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,8200,17866,299588,269107
10140,2015,5.7,JAPAN,JAPAN:  HONSHU:  S. OF,31.529,140.213,0,,,
10139,2015,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-5.462,151.875,0,,,
10141,2015,7.3,NEPAL,NEPAL:   DOLAKHA,27.809,86.066,117,2800,,
10143,2015,7.8,JAPAN,JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND],27.839,140.493,0,12,,
10151,2015,6,MALAYSIA,"MALAYSIA:  SABAH:  LAHAD,DATU,KANAK",5.987,116.541,18,,,23
10153,2015,5.3,INDIA,INDIA:  KOKRAJHAR,26.638,90.41,0,2,,
10152,2015,6.4,CHINA,CHINA:  S. XINJIANG:  HOTAN,37.6,78.2,3,263,3000,
10338,2015,6.1,PHILIPPINES,PHILIPPINES:  MINDANAO,10.169,125.891,1,,,
10147,2015,6.7,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0,,,
10146,2015,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.401,165.141,0,,,
10145,2015,5.1,PAKISTAN,PAKISTAN:  ABBOTTABAD,33.856,73.193,3,1,3,
10157,2015,6.9,USA,ALASKA,52.214,-169.399,0,,,
10149,2015,7,INDONESIA,INDONESIA:  PAPUA,-2.629,138.528,1,,1,6
10150,2015,5.9,PANAMA,COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA,8.231,-77.315,0,6,,45
10148,2015,5.8,RWANDA,RWANDA:  BUKAVU,-2.141,28.897,3,30,,
10341,2015,4.5,EL SALVADOR,EL SALVADOR:  ALEGRIA,13.668,-88.478,0,4,,92
10156,2015,8.3,CHILE,CHILE:  CENTRAL,-31.573,-71.674,15,14,2305,10044
10158,2015,6.6,INDONESIA,INDONESIA:  SORONG,-0.59,131.27,0,62,,260
10160,2015,5.8,ARGENTINA,ARGENTINA:  GALPON,-25.442,-64.632,2,30,15,
10159,2015,7.5,AFGHANISTAN,AFGHANISTAN: HINDU KUSH,36.524,70.368,399,1770,29230,79893
10343,2015,6.5,INDONESIA,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,0,,,1468
10161,2015,5.3,VENEZUELA,VENEZUELA:  MERIDA,8.477,-71.365,1,,33,83
10162,2015,6.9,CHILE,CHILE:  LA SERENA,-29.439,-72.105,0,,,
10163,2015,6.7,JAPAN,JAPAN:  KYUSYU ISLAND,31.001,128.873,0,,,
10164,2015,6.5,GREECE,"GREECE:  LEFKADA, KEFALONIA, ITHACA",38.67,20.6,2,4,1,
10344,2015,5.6,KYRGYZSTAN,KYRGYZSTAN: OSH,40.376,73.204,0,,200,800
10345,2015,5.1,VENEZUELA,VENEZUELA:  MERIDA,8.48,-71.42,1,3,,6
10166,2015,7.6,PERU,PERU-BRAZIL,-10.77,-71.41,0,,,
10165,2015,7.6,PERU,PERU-BRAZIL,-10.07,-70.98,0,,,
10168,2015,7.2,TAJIKISTAN,TAJIKISTAN,38.211,72.78,2,,500,
10350,2015,6.6,MEXICO,MEXICO:  COCOTITLAN,15.802,-93.633,2,,,
10169,2015,6.3,AFGHANISTAN,AFGHANISTAN; PAKISTAN,36.494,71.126,4,97,,
