COUNTRY,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
INDIA,24.955,95.236,,,,
EL SALVADOR,13.297,-87.898,,,,80
CHINA,38.31,76.888,,,,300
NEW ZEALAND,-41.364,174.315,,,,
MEXICO,17.844,-99.963,2,5,,70
NEW ZEALAND,-43.49,172.8,,60,,
RUSSIA,51.842,95.911,,,,
IRAN,36.288,58.835,,238,,
PERU,-14.168,-75.635,,119,,
VANUATU,-17.827,167.133,,,,
PHILIPPINES,9.999,123.206,51,112,15000,
TAIWAN,22.661,120.891,,,,
IRAN,31.428,56.778,,6,,
PHILIPPINES,12.354,123.7,,10,1,
VANUATU,-19.125,169.613,,,,
JAPAN,40.887,144.944,,,,
PHILIPPINES,10.037,125.633,,55,4,
MEXICO,16.493,-98.231,2,13,800,
CHILE,-35.2,-72.217,1,14,,
INDONESIA,2.327,93.063,10,12,,
INDONESIA,0.802,92.463,,,,
VANUATU,-18.972,168.741,,,,
CHILE,-32.625,-71.365,2,,,
IRAN,32.747,47.726,,8,,
AZERBAIJAN,41.549,46.789,,50,3100,
INDIA,26.175,92.889,,2,,
TAJIKISTAN,38.612,70.354,1,,,
CHILE,-17.678,-69.591,,,,
BRAZIL,-16.764,-43.999,,,,6
ITALY,44.89,11.23,7,50,,
ITALY,44.831,11.49,,,,
BULGARIA,42.645,22.968,,,,90
ITALY,44.851,11.086,17,350,,
INDONESIA,-7.692,106.371,,2,,23
TURKEY,36.42,28.88,,6,,
AFGHANISTAN,36.023,69.351,75,13,143,593
TURKEY,37.294,42.325,,23,,25
CHINA,27.767,100.781,4,394,6768,
CHINA,43.433,84.7,,52,,30000
CHINA,32.978,119.593,1,2,,
INDONESIA,2.707,96.045,1,,,20
SOLOMON ISLANDS,-9.694,159.727,,,26,
IRAN,38.329,46.826,306,3000,,
RUSSIA,49.8,145.064,,,,
INDONESIA,-1.315,120.096,6,43,471,1097
NICARAGUA,12.139,-88.59,,,,
PHILIPPINES,10.811,126.638,1,1,,
COSTA RICA,10.085,-85.315,2,20,,
CHINA,27.575,103.983,81,821,37000,133000
INDIA,23.739,81.314,,,,1
CANADA,52.788,-132.101,1,,,
GUATEMALA,13.988,-91.895,48,155,2769,7561
MYANMAR (BURMA),23.005,95.885,26,230,251,
CHINA,40.411,90.355,,,,
IRAN,33.506,59.571,8,12,,
JAPAN,37.89,143.949,,11,,
USA,55.393,-134.652,,,,
INDONESIA,4.927,95.907,1,15,,71
SOLOMON ISLANDS,-10.799,165.114,10,15,588,478
SOLOMON ISLANDS,-10.928,166.018,,,,
COLOMBIA,1.135,-77.393,,15,100,1900
RUSSIA,55.15,61.41,,1000,,4000
CHINA,27.226,103.071,,8,72,949
PERU,-15.748,-71.425,,,,80
CHINA,25.98,99.812,,30,700,2500
CHINA,40.119,77.466,,,864,
TAIWAN,23.828,121.215,1,86,,
IRAN,28.428,51.593,37,850,,700
HONDURAS,15.52,-87.159,,,12,66
JAPAN,34.369,134.828,,24,,
IRAN,28.033,61.996,40,300,,1000
JAPAN,33.958,139.352,,3,,
USA,31.817,-97.088,14,200,50,
RUSSIA,46.221,150.788,,,,
CHINA,30.308,102.888,196,11470,,
AFGHANISTAN,34.526,70.22,18,141,,676
INDIA,33.061,75.863,3,90,1136,95532
IRAN,26.56,57.77,2,20,,
ALGERIA,36.703,5.261,,5,,
RUSSIA,54.892,153.221,,,,
PHILIPPINES,7.275,124.898,,33,,164
TAIWAN,23.789,121.141,4,21,,
RUSSIA,54.263,86.173,,,,500
INDONESIA,-8.305,116.058,,50,5370,1700
INDONESIA,4.645,96.665,42,2500,20401,
INDONESIA,-8.803,113.002,,1,124,
ALGERIA,36.534,3.086,,11,,
NEW ZEALAND,-41.704,174.337,,5,,35
CHINA,34.512,104.262,94,1001,1968,22496
INDIA,33.297,75.95,,2,,
GREECE,38.689,22.695,,,100,
CHINA,30.046,97.957,,,,
NEW ZEALAND,-41.731,174.027,,,,
MEXICO,16.878,-99.498,,1,,
CHINA,28.239,99.328,,,36,36
CHINA,28.243,99.35,5,24,600,55500
GUATEMALA,14.606,-92.121,1,11,3,
PAKISTAN,26.951,65.501,825,619,32638,14118
PERU,-16.15,-74.87,,,,
PAKISTAN,27.183,65.505,22,50,,
GREECE,35.514,23.252,,1,,
PHILIPPINES,9.88,124.117,222,976,,
INDONESIA,5.103,95.971,1,2,,160
JAPAN,37.2,144.6,,1,,
TAJIKISTAN,38.41,68.89,,,104,256
ANTARCTICA,-60.274,-46.401,,,,
CHINA,44.599,124.168,,,,5300
IRAN,29.275,51.313,8,200,250,
IRAN,27.15,54.448,1,30,,
COLOMBIA,4.557,-76.644,,,,121
